gene_symbol,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DE
SNRK,0.006716451,-0.126792208,0.089,0.116,1,notDE
CHN1,0.006718215,-0.111025842,0.028,0.046,1,notDE
C8orf82,0.006736232,-0.042162762,0.013,0.027,1,notDE
POU2AF1,0.006762502,-0.026042297,0,0.007,1,notDE
APOBEC3B,0.006762502,-0.029037983,0,0.007,1,notDE
ARID4B,0.006765577,-0.180550669,0.461,0.502,1,notDE
YIF1A,0.006774521,-0.103401263,0.207,0.248,1,notDE
LMCD1,0.006781062,-0.03804272,0.004,0.013,1,notDE
RAD21,0.006789591,-0.148017533,0.448,0.487,1,notDE
CD83,0.0067955,0.123118423,0.08,0.059,1,notDE
ZSCAN9,0.006797483,-0.045671794,0.006,0.016,1,notDE
ZBTB37,0.00684181,0.031710616,0.022,0.012,1,notDE
C11orf98,0.006843522,-0.075825763,0.038,0.058,1,notDE
SEC63,0.006852135,-0.117908781,0.125,0.156,1,notDE
YIPF1,0.006870249,0.09039678,0.092,0.07,1,notDE
TSN,0.006875114,-0.089938684,0.173,0.212,1,notDE
EXOSC6,0.006881127,-0.082581638,0.036,0.056,1,notDE
TRAV12-1,0.006906998,0.114548406,0.096,0.073,1,notDE
CATSPERB,0.006915934,0.013002685,0.009,0.004,1,notDE
SRRT,0.006916767,-0.168133741,0.271,0.309,1,notDE
PYROXD2,0.006925085,0.025292159,0.008,0.003,1,notDE
FKTN,0.006943784,0.019183243,0.008,0.003,1,notDE
FEM1A,0.006958132,-0.082057267,0.051,0.074,1,notDE
CDC34,0.006986423,-0.087816523,0.032,0.05,1,notDE
PLD6,0.006995558,-0.038406236,0.006,0.017,1,notDE
EFCAB2,0.007027995,-0.082806878,0.022,0.038,1,notDE
MPLKIP,0.007037255,-0.101524226,0.176,0.214,1,notDE
HACD1,0.007054754,-0.031877651,0.003,0.012,1,notDE
PSMB3,0.007055977,-0.117405729,0.585,0.616,1,notDE
OTUD1,0.007069528,-0.044758595,0.006,0.017,1,notDE
AQR,0.00707768,-0.079248587,0.081,0.108,1,notDE
SPCS2,0.007089109,-0.122572283,0.486,0.53,1,notDE
LUC7L3,0.007093094,-0.148496405,0.333,0.375,1,notDE
SREBF1,0.007110813,-0.041354926,0.006,0.017,1,notDE
RHBDD3,0.007129774,-0.049226719,0.023,0.04,1,notDE
RNF167,0.00714125,0.091693853,0.374,0.342,1,notDE
RANGAP1,0.00715141,-0.131879249,0.191,0.227,1,notDE
RHOC,0.007157721,-0.06791663,0.029,0.047,1,notDE
RAE1,0.00715793,-0.10666589,0.121,0.152,1,notDE
NDUFB1,0.007173932,0.070000954,0.226,0.192,1,notDE
HDHD2,0.007190035,0.041037336,0.03,0.018,1,notDE
RPS13,0.007204408,0.038074071,0.998,0.991,1,notDE
MGAT4A,0.007210124,0.082611756,0.277,0.239,1,notDE
NRF1,0.007246733,-0.096855189,0.052,0.074,1,notDE
NCAPD2,0.007254495,-0.050569339,0.03,0.048,1,notDE
TMEM115,0.007268015,-0.121153802,0.138,0.171,1,notDE
FAR1,0.007289593,-0.091632526,0.066,0.09,1,notDE
LOXL1,0.007300388,0.018097494,0.011,0.005,1,notDE
PRPF4,0.00730768,-0.103625908,0.103,0.133,1,notDE
PRICKLE3,0.007321744,-0.049306974,0.009,0.021,1,notDE
SDCCAG8,0.0073281,0.070154441,0.081,0.06,1,notDE
ESF1,0.0073347,-0.11975998,0.136,0.17,1,notDE
MAD2L1BP,0.007346297,-0.103438382,0.085,0.112,1,notDE
ANKRD54,0.007363635,-0.106395531,0.079,0.105,1,notDE
GAREM2,0.00737514,-0.03401314,0.002,0.01,1,notDE
AC013394.1,0.0073977,-0.065660971,0.024,0.041,1,notDE
AKR7A2,0.007421881,0.084574748,0.141,0.114,1,notDE
CDC26,0.007425661,-0.149116535,0.302,0.337,1,notDE
CHRNA6,0.007431023,0.011321118,0.004,0.001,1,notDE
LINC02361,0.007452484,0.032439438,0.032,0.019,1,notDE
ATP8A2,0.007462927,0.00965417,0.004,0.001,1,notDE
MRPS25,0.00746579,-0.078214692,0.112,0.143,1,notDE
CXCL1,0.007470922,0.008868731,0.004,0.001,1,notDE
AC011603.2,0.007478815,-0.038279037,0.006,0.016,1,notDE
AC243829.2,0.007482929,0.00789637,0.004,0.001,1,notDE
QTRT2,0.007497174,-0.073522707,0.049,0.071,1,notDE
TTLL4,0.007511903,-0.050768409,0.018,0.033,1,notDE
GNB5,0.007524541,0.084706476,0.135,0.108,1,notDE
TIMM17A,0.007541819,-0.121283604,0.214,0.252,1,notDE
VMP1,0.007554196,-0.132310751,0.274,0.312,1,notDE
SNRPD3,0.007555711,-0.123060402,0.442,0.488,1,notDE
C1orf198,0.007561183,-0.05814735,0.015,0.029,1,notDE
ANTXR2,0.007572556,0.01566268,0.191,0.156,1,notDE
STRN4,0.007598092,-0.085703873,0.041,0.061,1,notDE
CDKL1,0.007606952,0.029106626,0.019,0.01,1,notDE
AC016831.1,0.007609499,-0.053229425,0.017,0.031,1,notDE
ATG4B,0.007645119,-0.116205062,0.191,0.229,1,notDE
PRPF3,0.007673027,-0.095288359,0.099,0.129,1,notDE
IL26,0.007674242,-0.030678591,0,0.007,1,notDE
LINC00158,0.007674242,-0.025079912,0,0.007,1,notDE
PTP4A1,0.007693325,-0.17715447,0.176,0.21,1,notDE
DENND6B,0.007703434,-0.048537613,0.01,0.023,1,notDE
PIK3R1,0.007722068,-0.017752398,0.422,0.37,1,notDE
DPYD,0.007724346,0.076255808,0.098,0.076,1,notDE
CTSW,0.007734566,-0.091830524,0.339,0.291,1,notDE
NBPF9,0.007753474,-0.048570078,0.009,0.021,1,notDE
LINC01934,0.007754296,0.064013132,0.036,0.023,1,notDE
AC007032.1,0.007769175,-0.035440799,0.004,0.013,1,notDE
TWF1,0.007807885,-0.110294908,0.08,0.106,1,notDE
AC002467.1,0.007845058,-0.037647372,0.003,0.012,1,notDE
NIN,0.007866172,0.06318206,0.177,0.146,1,notDE
ITK,0.007875667,-0.154254324,0.328,0.365,1,notDE
ARFGAP2,0.00788621,-0.132133995,0.207,0.242,1,notDE
CPQ,0.007907482,0.046115617,0.03,0.018,1,notDE
NDE1,0.007913651,-0.101496222,0.149,0.184,1,notDE
PTAR1,0.007934954,-0.073164231,0.056,0.079,1,notDE
TP73,0.00795246,-0.029765036,0.001,0.008,1,notDE
MRPS10,0.007966175,-0.095342685,0.14,0.175,1,notDE
SLC10A7,0.007973951,0.035398712,0.024,0.014,1,notDE
STK17A,0.008002894,0.065679526,0.548,0.51,1,notDE
TOX4,0.008005991,-0.146579614,0.298,0.336,1,notDE
PRKCZ-AS1,0.008009826,0.008396051,0.002,0,1,notDE
ADAM29,0.008009826,0.011174356,0.002,0,1,notDE
AKR1E2,0.008009826,0.005626486,0.002,0,1,notDE
AC074050.4,0.008009826,0.005952125,0.002,0,1,notDE
CCR2,0.008013526,0.038324751,0.018,0.009,1,notDE
NRP1,0.0080172,0.00640801,0.002,0,1,notDE
FAM95C,0.0080172,0.005655811,0.002,0,1,notDE
FMN1,0.0080172,0.007379672,0.002,0,1,notDE
AC243830.1,0.0080172,0.007913177,0.002,0,1,notDE
EP300-AS1,0.0080172,0.006136838,0.002,0,1,notDE
TPRKB,0.008019655,-0.099580424,0.175,0.212,1,notDE
AC005154.6,0.008024579,0.008740674,0.002,0,1,notDE
MRPL36,0.008025904,-0.094588346,0.233,0.274,1,notDE
LINC01422,0.008031965,0.003727116,0.002,0,1,notDE
AC016588.1,0.008031965,0.005207697,0.002,0,1,notDE
SCG5,0.008039357,0.005099316,0.002,0,1,notDE
FLG-AS1,0.008039357,0.00411031,0.002,0,1,notDE
C5orf17,0.008039357,0.003691,0.002,0,1,notDE
AL008729.1,0.008039357,0.003080345,0.002,0,1,notDE
FGFR2,0.008039357,0.006895677,0.002,0,1,notDE
GTF2E2,0.008062242,0.102271015,0.184,0.156,1,notDE
RGS2,0.008064477,-0.21602971,0.143,0.174,1,notDE
KAT6A,0.008071704,0.08097047,0.263,0.229,1,notDE
LINC01184,0.008099556,0.046352779,0.035,0.022,1,notDE
HINT1,0.00810768,0.063892142,0.899,0.87,1,notDE
USP37,0.008118745,-0.089260828,0.058,0.08,1,notDE
TRAF6,0.008121363,-0.098467343,0.054,0.076,1,notDE
TMEM216,0.0081241,-0.071159123,0.081,0.108,1,notDE
TMEM102,0.008142215,-0.077420348,0.054,0.076,1,notDE
HIST4H4,0.008153606,-0.046028727,0.006,0.016,1,notDE
CLDN12,0.0081543,0.010539983,0.005,0.001,1,notDE
DOHH,0.008168573,-0.088508711,0.068,0.092,1,notDE
COQ4,0.008177265,0.100691344,0.248,0.215,1,notDE
DNAJC10,0.008195067,-0.08885665,0.079,0.105,1,notDE
C10orf143,0.00820113,0.077175391,0.043,0.029,1,notDE
C4orf48,0.008211035,-0.124306634,0.395,0.435,1,notDE
MAPK13,0.008215932,-0.063355775,0.033,0.052,1,notDE
COX6B1,0.008219787,0.06947656,0.763,0.735,1,notDE
NR1D1,0.008224793,-0.048935009,0.012,0.025,1,notDE
LMBRD1,0.008243033,0.096778633,0.25,0.219,1,notDE
PSMB1,0.008267888,-0.125614359,0.635,0.658,1,notDE
CAMLG,0.008290385,-0.122943269,0.29,0.332,1,notDE
VILL,0.008294269,0.077289631,0.056,0.039,1,notDE
SLC43A2,0.008302223,-0.036873977,0.002,0.01,1,notDE
NUCKS1,0.008322696,0.070614265,0.467,0.422,1,notDE
ACTG1,0.008341561,-0.045591345,0.816,0.76,1,notDE
ZNF485,0.008376157,0.027936741,0.015,0.007,1,notDE
PFKL,0.008393473,0.097941507,0.195,0.164,1,notDE
FXYD1,0.008393947,0.029234399,0.017,0.009,1,notDE
MIR4458HG,0.008397318,-0.029002654,0.001,0.008,1,notDE
PUS7,0.008398183,-0.054482872,0.03,0.048,1,notDE
BMP1,0.008421989,-0.044101699,0.004,0.013,1,notDE
AP002495.2,0.008422891,0.028434697,0.02,0.011,1,notDE
PTGIS,0.008424966,-0.030404663,0.001,0.008,1,notDE
CDYL,0.008424991,-0.054653964,0.011,0.024,1,notDE
SH3BP2,0.008431711,-0.069117699,0.031,0.048,1,notDE
NBDY,0.008433506,0.090269634,0.299,0.266,1,notDE
PAK3,0.008433663,0.024076528,0.009,0.004,1,notDE
C12orf65,0.008437483,-0.137674478,0.225,0.262,1,notDE
RAB23,0.00846107,0.022137815,0.009,0.004,1,notDE
RAD23B,0.008463045,-0.127246102,0.143,0.174,1,notDE
TNFSF9,0.008497296,-0.083104193,0.02,0.036,1,notDE
NT5C2,0.008498267,-0.073026675,0.051,0.073,1,notDE
HMGB1,0.00851323,-0.107229591,0.905,0.907,1,notDE
CEP350,0.008514255,-0.15643348,0.199,0.231,1,notDE
ZBTB48,0.008521946,-0.09373772,0.055,0.077,1,notDE
TPM3,0.008534305,0.066471152,0.797,0.762,1,notDE
CPNE3,0.008543889,0.089548723,0.279,0.242,1,notDE
KBTBD7,0.00856678,0.032623082,0.027,0.016,1,notDE
NCBP1,0.008570149,-0.088096291,0.063,0.086,1,notDE
GFPT2,0.008581745,-0.078078361,0.011,0.024,1,notDE
SERPINI1,0.008592907,0.023206153,0.017,0.009,1,notDE
MTMR12,0.008610352,0.058832885,0.051,0.035,1,notDE
HNRNPL,0.008613915,-0.113779598,0.168,0.201,1,notDE
SLF1,0.00867175,-0.15745892,0.179,0.212,1,notDE
REXO2,0.008680075,-0.12534776,0.291,0.33,1,notDE
DCAF12,0.008680987,-0.077849179,0.068,0.093,1,notDE
MAFG,0.008695818,-0.056192696,0.032,0.05,1,notDE
USP4,0.008698517,-0.096227965,0.176,0.212,1,notDE
GPR34,0.008711617,-0.023929626,0,0.006,1,notDE
FADS2,0.008723328,0.015300093,0.006,0.002,1,notDE
CEBPD,0.008728368,-0.066680877,0.02,0.036,1,notDE
PUF60,0.008729544,-0.114121728,0.441,0.485,1,notDE
CSGALNACT1,0.008768588,-0.054016846,0.034,0.053,1,notDE
PIP5K1A,0.008774858,-0.084517757,0.071,0.096,1,notDE
GNL2,0.008807667,-0.108321369,0.137,0.17,1,notDE
PBX4,0.00883127,-0.224469855,0.201,0.23,1,notDE
ZSCAN2,0.008838136,-0.060003895,0.027,0.044,1,notDE
CSRNP1,0.008838371,-0.226712194,0.347,0.379,1,notDE
LUZP1,0.008844258,-0.120809512,0.134,0.164,1,notDE
HSPA1L,0.008854265,-0.037671866,0.002,0.01,1,notDE
GCH1,0.00885874,-0.093515742,0.058,0.08,1,notDE
DLGAP4,0.008869402,-0.117566169,0.102,0.129,1,notDE
DDA1,0.008886946,-0.100205576,0.206,0.245,1,notDE
MCRIP1,0.00892258,0.065929026,0.301,0.266,1,notDE
AL590705.1,0.008939349,0.021961062,0.008,0.003,1,notDE
MYO9B,0.009026127,-0.126706995,0.135,0.165,1,notDE
NBR1,0.009035463,-0.096514874,0.13,0.162,1,notDE
PRCC,0.009037956,-0.122317678,0.183,0.218,1,notDE
DNAJC5,0.00910735,-0.086098668,0.067,0.091,1,notDE
MIF,0.009110917,-0.101300034,0.867,0.86,1,notDE
DHRS4-AS1,0.009135601,0.055345536,0.043,0.028,1,notDE
BOP1,0.009153299,-0.081641959,0.082,0.108,1,notDE
RAD9A,0.009159701,0.083397788,0.09,0.069,1,notDE
P4HTM,0.00916384,0.081013547,0.103,0.08,1,notDE
SIRT1,0.009166813,-0.0707011,0.025,0.041,1,notDE
RPL8,0.009201645,0.039980967,0.998,0.99,1,notDE
UBR1,0.009201762,-0.108583506,0.103,0.131,1,notDE
AMACR,0.009209908,0.03823935,0.019,0.011,1,notDE
EXOC2,0.009248429,0.082883593,0.174,0.146,1,notDE
ACIN1,0.009252796,-0.160696643,0.274,0.31,1,notDE
SPATA13,0.009276024,0.070965344,0.148,0.121,1,notDE
GPT2,0.009282905,-0.019482709,0,0.006,1,notDE
TMEM11,0.009337012,-0.103147804,0.165,0.2,1,notDE
IPPK,0.009367127,-0.059731342,0.025,0.042,1,notDE
CBFB,0.009372254,-0.103962663,0.116,0.146,1,notDE
SCPEP1,0.009400557,-0.068875778,0.037,0.056,1,notDE
AL135925.1,0.009400755,-0.079854501,0.047,0.069,1,notDE
RCHY1,0.009440342,-0.088631895,0.076,0.101,1,notDE
CCNJ,0.009442758,-0.031643996,0.003,0.011,1,notDE
AUP1,0.009475051,-0.109441535,0.455,0.497,1,notDE
HECTD2,0.009490711,-0.044028112,0.013,0.026,1,notDE
C16orf87,0.009492515,-0.079125176,0.069,0.093,1,notDE
WDR27,0.009495403,0.034714049,0.016,0.008,1,notDE
TGFBR3L,0.009498371,-0.026747904,0.001,0.008,1,notDE
TSR3,0.009499895,-0.062853833,0.052,0.074,1,notDE
POMP,0.009504836,-0.099093848,0.588,0.627,1,notDE
BYSL,0.009507077,-0.045961311,0.038,0.058,1,notDE
ATG9A,0.009512722,-0.060596956,0.039,0.059,1,notDE
RTCA,0.009531293,-0.093206569,0.118,0.149,1,notDE
TMEM159,0.00953253,-0.076561912,0.051,0.072,1,notDE
YIPF3,0.009533145,-0.11265481,0.297,0.337,1,notDE
TMEM186,0.009552306,-0.046608486,0.02,0.036,1,notDE
TRIB1,0.009559906,-0.036694567,0.019,0.033,1,notDE
C21orf2,0.009609885,0.083227669,0.147,0.122,1,notDE
C17orf107,0.009612103,-0.02745741,0.001,0.008,1,notDE
AL122035.1,0.009616046,-0.027016564,0.001,0.008,1,notDE
MCTP2,0.0096644,-0.086318723,0.039,0.058,1,notDE
SIAH1,0.009665517,-0.070167146,0.043,0.063,1,notDE
SECISBP2L,0.009697099,-0.128023038,0.194,0.23,1,notDE
GMEB1,0.00970692,-0.099347961,0.087,0.113,1,notDE
URB1,0.009732298,-0.070285031,0.035,0.054,1,notDE
TNPO2,0.00977684,-0.061845323,0.034,0.053,1,notDE
MIEN1,0.00978319,0.073990659,0.341,0.305,1,notDE
DDX10,0.009799814,-0.08335663,0.08,0.106,1,notDE
SERINC5,0.009822977,-0.077346033,0.053,0.074,1,notDE
MAPK8IP1,0.009892506,-0.026678592,0,0.006,1,notDE
IDH3A,0.009929459,0.12498424,0.174,0.148,1,notDE
SLC25A19,0.009930784,-0.059312828,0.038,0.057,1,notDE
CD72,0.009931818,-0.02809084,0.006,0.016,1,notDE
VAMP7,0.009953129,-0.107932487,0.093,0.118,1,notDE
WDR12,0.009966349,-0.077026819,0.051,0.072,1,notDE
AC092903.2,0.009986653,0.009819363,0.003,0.001,1,notDE
AC242426.2,0.009990034,0.020417174,0.016,0.008,1,notDE
PLCB1,0.009997871,0.049594153,0.031,0.019,1,notDE
BHLHB9,0.009999356,0.009415932,0.003,0.001,1,notDE
AC021087.1,0.009999356,0.010564199,0.003,0.001,1,notDE
AL033527.3,0.010005713,0.008254952,0.003,0.001,1,notDE
KDM5A,0.010006109,-0.124352792,0.284,0.322,1,notDE
LINC02365,0.010024806,0.006756959,0.003,0.001,1,notDE
CEP162,0.010044755,0.054440082,0.041,0.027,1,notDE
AATF,0.010057035,-0.127298485,0.266,0.303,1,notDE
PDIA6,0.01005854,0.094281584,0.412,0.381,1,notDE
ZBED5-AS1,0.010059633,0.044507905,0.025,0.015,1,notDE
TRBV13,0.010070528,0.52522759,0.03,0.018,1,notDE
RAP2B,0.010114494,0.09924744,0.147,0.121,1,notDE
TSPAN13,0.010119426,-0.037799155,0.003,0.011,1,notDE
RYBP,0.010122802,-0.078378458,0.067,0.091,1,notDE
MAP3K21,0.01013134,-0.030986788,0.002,0.01,1,notDE
SMURF2,0.010154393,-0.084092679,0.046,0.067,1,notDE
IER5L,0.010157986,-0.054867695,0.006,0.017,1,notDE
AC022126.1,0.010186087,-0.025966969,0.002,0.01,1,notDE
SRP9,0.010187857,0.094400228,0.527,0.492,1,notDE
BROX,0.010211505,-0.099266613,0.083,0.108,1,notDE
TMEM39A,0.010217621,-0.106890515,0.084,0.11,1,notDE
GGT7,0.010217659,0.041117446,0.033,0.021,1,notDE
SUSD6,0.010223423,-0.092131311,0.067,0.091,1,notDE
NUP58,0.010257347,-0.107550384,0.137,0.169,1,notDE
AC010616.1,0.01025902,0.079763977,0.087,0.067,1,notDE
CNTRL,0.010322198,-0.128761522,0.193,0.227,1,notDE
PMAIP1,0.010339288,0.065909244,0.298,0.261,1,notDE
KMT5A,0.010340564,-0.055691339,0.018,0.032,1,notDE
LIPT2,0.010349053,0.031429711,0.02,0.011,1,notDE
SERPINH1,0.010353745,-0.076052332,0.012,0.024,1,notDE
FAM214B,0.01036947,-0.047315354,0.02,0.035,1,notDE
PRDX6,0.010370319,-0.142985012,0.511,0.542,1,notDE
BBIP1,0.010377443,-0.111520118,0.123,0.153,1,notDE
PELO,0.010397388,-0.108345961,0.128,0.158,1,notDE
NCBP2-AS2,0.010403495,-0.120305068,0.208,0.243,1,notDE
NIPA1,0.01040593,-0.076427288,0.04,0.059,1,notDE
ZNF140,0.010424207,-0.078902909,0.045,0.066,1,notDE
AC009961.1,0.010427272,0.024610212,0.019,0.01,1,notDE
TMEM25,0.010461727,0.035717752,0.03,0.018,1,notDE
CCDC18,0.010463394,-0.078099368,0.034,0.052,1,notDE
AP006621.3,0.010464119,0.044833428,0.026,0.016,1,notDE
FBXO31,0.010468581,-0.08200212,0.059,0.082,1,notDE
PDCD10,0.010511886,-0.105803432,0.283,0.324,1,notDE
TWF2,0.010533357,-0.126573332,0.326,0.36,1,notDE
PIM2,0.010536532,-0.008532571,0.34,0.299,1,notDE
CDH17,0.010543073,-0.02869678,0,0.006,1,notDE
VAV2,0.010543073,-0.024613165,0,0.006,1,notDE
TMEM44,0.010544624,-0.03559236,0.003,0.011,1,notDE
CEP112,0.010545149,-0.049490025,0.013,0.026,1,notDE
BLVRB,0.010580386,-0.091298337,0.038,0.057,1,notDE
SPART,0.010584617,-0.065968443,0.019,0.034,1,notDE
ACAT1,0.010585565,0.081453546,0.092,0.071,1,notDE
ZNF655,0.010603173,-0.101362905,0.216,0.256,1,notDE
TST,0.010610168,-0.040637951,0.007,0.018,1,notDE
PDCD5,0.010612674,-0.097523123,0.414,0.461,1,notDE
NR1H2,0.010626207,-0.137944686,0.344,0.379,1,notDE
CENPV,0.010637443,-0.060624734,0.016,0.029,1,notDE
TYMS,0.010642962,-0.04574459,0.003,0.011,1,notDE
PIGB,0.01064393,-0.07092035,0.044,0.063,1,notDE
NKX3-1,0.010649317,0.018909064,0.006,0.002,1,notDE
PPCDC,0.010663123,-0.053955097,0.016,0.029,1,notDE
MAP2K6,0.010685527,0.041822833,0.019,0.01,1,notDE
TNS4,0.010704982,0.0134445,0.006,0.002,1,notDE
LARP4B,0.010711753,-0.061639164,0.058,0.081,1,notDE
MLLT6,0.01072403,0.105373201,0.206,0.178,1,notDE
NDUFAF1,0.010745152,-0.074119903,0.043,0.062,1,notDE
PABPC1,0.010754752,0.008812707,0.92,0.9,1,notDE
HIGD2A,0.010775741,0.116094523,0.534,0.516,1,notDE
ZP3,0.010817089,0.010139187,0.006,0.002,1,notDE
PLAC8,0.010872622,0.071348665,0.07,0.051,1,notDE
SREK1,0.010874215,-0.113770919,0.17,0.205,1,notDE
KIF27,0.010895832,-0.050284837,0.008,0.019,1,notDE
SFMBT1,0.010916604,-0.073117723,0.069,0.093,1,notDE
DGKH,0.010929248,-0.061000907,0.018,0.032,1,notDE
PELP1,0.010938636,-0.072358567,0.116,0.146,1,notDE
SRGAP2,0.010940079,0.07093163,0.06,0.044,1,notDE
PHYH,0.010944795,-0.048502455,0.027,0.043,1,notDE
NCR1,0.010953905,-0.040085446,0.012,0.024,1,notDE
TNIP1,0.010955124,-0.161007249,0.474,0.506,1,notDE
BIN1,0.010958289,0.07145328,0.319,0.283,1,notDE
MRPS35,0.010959083,-0.108552901,0.177,0.211,1,notDE
XPNPEP1,0.010960654,0.085546966,0.111,0.089,1,notDE
ZHX2,0.010960868,-0.090325054,0.064,0.087,1,notDE
U2SURP,0.010963329,-0.115594871,0.363,0.404,1,notDE
LMTK3,0.010975158,0.026023287,0.012,0.006,1,notDE
NORAD,0.010980093,-0.147909343,0.237,0.271,1,notDE
CORO1A,0.010984051,-0.204257449,0.7,0.689,1,notDE
MTMR2,0.01100033,-0.042521341,0.035,0.054,1,notDE
SLC41A2,0.011013821,-0.042325846,0.007,0.018,1,notDE
FLNB,0.01106652,0.028158947,0.034,0.022,1,notDE
FLCN,0.011071198,-0.054548088,0.009,0.02,1,notDE
KDM7A,0.011100941,0.07559757,0.116,0.092,1,notDE
MPI,0.01115375,0.058446508,0.086,0.066,1,notDE
FGL2,0.011235585,-0.043120354,0.008,0.019,1,notDE
SLC4A2,0.011236983,-0.078340921,0.058,0.08,1,notDE
RSU1,0.011257814,0.072384909,0.215,0.184,1,notDE
SPAST,0.011300039,-0.073652901,0.036,0.055,1,notDE
IRGQ,0.011304408,-0.055244071,0.021,0.036,1,notDE
SMTN,0.011315413,-0.029125851,0.003,0.011,1,notDE
TCTN3,0.011340601,-0.079736127,0.105,0.133,1,notDE
ARMC5,0.011351603,-0.043446291,0.016,0.029,1,notDE
KCTD5,0.011352378,-0.067648269,0.066,0.09,1,notDE
PFDN6,0.011353827,-0.101220657,0.219,0.259,1,notDE
WDR20,0.011377121,-0.075881219,0.096,0.124,1,notDE
KIAA0040,0.01137737,0.082406392,0.138,0.112,1,notDE
UBA3,0.011378205,-0.117544539,0.156,0.188,1,notDE
TACC1,0.011385761,-0.139266608,0.196,0.228,1,notDE
CCDC146,0.01139374,0.053503475,0.023,0.014,1,notDE
CHPF2,0.011412698,-0.080817349,0.075,0.099,1,notDE
DCAF5,0.011413002,0.083304051,0.171,0.142,1,notDE
PUM2,0.011418089,-0.10125579,0.145,0.177,1,notDE
ZNF821,0.011457944,-0.08207013,0.032,0.05,1,notDE
UBE2G1,0.011478203,-0.133477752,0.186,0.218,1,notDE
TOMM5,0.011484563,-0.116056597,0.291,0.334,1,notDE
MCOLN2,0.011504236,0.0754348,0.124,0.101,1,notDE
TWISTNB,0.011530391,-0.074793693,0.097,0.125,1,notDE
WWP2,0.011560533,-0.070790907,0.058,0.081,1,notDE
AC020765.2,0.011569761,-0.040587822,0.006,0.015,1,notDE
TGFB1,0.01157491,-0.237565217,0.542,0.559,1,notDE
LRPAP1,0.011588698,-0.127714465,0.372,0.41,1,notDE
REV1,0.011590912,-0.093903587,0.083,0.108,1,notDE
MOB1B,0.01159719,-0.047131843,0.019,0.033,1,notDE
E2F6,0.011598838,-0.065472367,0.04,0.059,1,notDE
NBPF14,0.011606966,-0.093771429,0.054,0.075,1,notDE
PLD3,0.011607853,0.094704695,0.176,0.15,1,notDE
YTHDF1,0.011621604,-0.080744748,0.039,0.058,1,notDE
AL035701.1,0.011630382,0.027747603,0.01,0.004,1,notDE
PPP6R3,0.011656111,-0.118380353,0.16,0.192,1,notDE
SEL1L3,0.011659779,-0.083556801,0.06,0.083,1,notDE
PPIAL4G,0.011664071,0.028938313,0.01,0.004,1,notDE
PAFAH1B2,0.011671775,-0.101114616,0.086,0.111,1,notDE
CENPX,0.011677572,-0.089400917,0.159,0.192,1,notDE
MBTPS1,0.011705586,-0.080105236,0.11,0.14,1,notDE
TMEM116,0.011709804,-0.064423282,0.023,0.039,1,notDE
RCBTB2,0.011715308,0.049771125,0.039,0.026,1,notDE
RBM45,0.011715559,0.046997452,0.041,0.027,1,notDE
NUTF2,0.011717184,-0.147249426,0.348,0.385,1,notDE
HEMK1,0.011740669,0.051265131,0.044,0.03,1,notDE
NPIPB3,0.01177322,0.007477881,0.008,0.003,1,notDE
AHNAK,0.011793544,0.043901752,0.598,0.555,1,notDE
GPD2,0.011796238,-0.038939073,0.019,0.034,1,notDE
TSG101,0.011805195,-0.098207497,0.171,0.204,1,notDE
POLR3GL,0.011805242,0.087560141,0.212,0.183,1,notDE
CENPL,0.011820831,-0.084003698,0.039,0.057,1,notDE
LRRC8C,0.011860543,-0.082244311,0.107,0.136,1,notDE
AL035563.1,0.011879448,0.023639264,0.01,0.004,1,notDE
DHX30,0.011885019,-0.112274744,0.169,0.202,1,notDE
DECR1,0.011899103,0.07706051,0.187,0.159,1,notDE
PWAR6,0.011899411,0.015205577,0.006,0.002,1,notDE
GNG2,0.011901776,-0.23660196,0.579,0.58,1,notDE
ZNF557,0.0119227,0.048964682,0.05,0.035,1,notDE
TPD52L2,0.011945816,-0.096710635,0.12,0.148,1,notDE
NAV2,0.011950655,0.020344204,0.007,0.003,1,notDE
UBE4B,0.011973226,-0.086297715,0.069,0.092,1,notDE
SFTPB,0.011978703,-0.029314382,0,0.006,1,notDE
TRAV34,0.011981557,0.018109144,0.006,0.002,1,notDE
KIR2DL3,0.011983082,-0.061122939,0.002,0.009,1,notDE
POM121,0.011998653,-0.093136906,0.071,0.095,1,notDE
RETREG3,0.012029146,-0.113018726,0.099,0.126,1,notDE
WDR83OS,0.012039482,-0.093355193,0.664,0.682,1,notDE
FGF22,0.01204618,0.018164062,0.01,0.004,1,notDE
ERAP1,0.012052999,0.096511117,0.109,0.088,1,notDE
UHRF1BP1,0.012055392,-0.046240829,0.015,0.028,1,notDE
TAB1,0.012062927,0.059391501,0.058,0.042,1,notDE
C2orf69,0.012078043,-0.075459042,0.048,0.068,1,notDE
CLPTM1,0.012092992,-0.091690808,0.213,0.25,1,notDE
CNN2,0.012110082,-0.120501459,0.254,0.288,1,notDE
MPRIP,0.012120496,-0.087980955,0.092,0.119,1,notDE
ZNF181,0.012122098,0.050949105,0.044,0.03,1,notDE
TMEM97,0.012159418,-0.055192618,0.019,0.034,1,notDE
ZNF480,0.012159984,0.071040955,0.087,0.067,1,notDE
FAM118B,0.012161349,-0.077213756,0.044,0.063,1,notDE
RASGRP1,0.01216335,0.099697333,0.251,0.218,1,notDE
AC020915.1,0.012175239,-0.034671803,0.004,0.012,1,notDE
